BodyType,Muscle,Chest,Bodybuilder,Abdomen,Fitness professional,Bodybuilding,Stomach,Model,Arm,Shoulder,Waist
1,0.9881929159164429,0.9535614848136902,0.9920341968536377,0.9731187224388123,0.9429972767829895,0.9858248233795166,nan,nan,nan,nan,nan
1,0.9645530581474304,0.9586498141288757,0.9049844741821289,0.9696370959281921,nan,nan,0.8972287178039551,0.8818008303642273,nan,nan,nan
2,0.8850614428520203,0.897283673286438,nan,0.8555677533149719,nan,nan,0.6359195113182068,nan,0.8564975261688232,nan,nan
0,0.8939050436019897,0.881163477897644,nan,0.7674447894096375,nan,nan,0.7657120823860168,0.7975711226463318,nan,nan,nan
1,0.9809309244155884,0.9347379803657532,0.9920341968536377,0.9577527046203613,0.9173834323883057,0.9827930927276611,nan,0.8757737278938293,nan,nan,nan
1,0.9685642123222351,0.9477207660675049,0.986662745475769,0.9723223447799683,0.9318409562110901,0.9534612894058228,0.9336183667182922,nan,nan,nan,nan
1,0.9671217799186707,nan,0.9791726469993591,0.94688880443573,nan,nan,nan,nan,nan,nan,nan
1,0.9678269028663635,0.9630056023597717,0.9579164385795593,nan,nan,nan,nan,nan,nan,nan,nan
2,nan,nan,nan,0.8371727466583252,nan,nan,0.8878492116928101,nan,0.7560437321662903,nan,0.8071054816246033
0,0.7496662735939026,nan,nan,nan,nan,nan,nan,nan,0.7560437321662903,0.7507902979850769,nan
2,nan,0.904841423034668,nan,nan,nan,nan,nan,nan,0.9262536764144897,0.8860629200935364,nan
2,nan,nan,nan,0.9709870219230652,nan,nan,0.9469899535179138,nan,nan,nan,0.9740934371948242
2,nan,nan,nan,0.9779064655303955,nan,nan,0.9680862426757812,nan,0.7759444117546082,nan,0.8461121320724487
0,nan,nan,nan,nan,nan,nan,nan,0.919962465763092,nan,nan,nan
0,nan,nan,nan,0.9119556546211243,nan,nan,0.9211018085479736,nan,0.8597366213798523,0.8339410424232483,0.9334235191345215
1,0.9607062339782715,0.9235655069351196,nan,0.9535765647888184,nan,nan,0.8888476490974426,0.8344641923904419,0.8746816515922546,0.8339410424232483,nan
2,0.8358170390129089,0.7784953713417053,nan,0.8950538039207458,nan,nan,nan,nan,0.8680142760276794,nan,0.8887870907783508
2,0.7496662735939026,0.8564332127571106,nan,0.9671552777290344,nan,nan,0.9493921399116516,nan,nan,nan,nan
0,nan,nan,nan,nan,nan,nan,nan,0.9095732569694519,nan,nan,nan
0,nan,nan,nan,nan,nan,nan,nan,0.9292754530906677,nan,nan,nan
0,0.8550108671188354,0.7747668027877808,nan,nan,nan,nan,nan,nan,0.887634813785553,nan,nan
2,nan,nan,nan,nan,nan,nan,nan,nan,0.887634813785553,nan,nan
1,0.971026599407196,0.9282481074333191,0.9828946590423584,0.9674349427223206,0.9208443760871887,0.94118732213974,nan,0.9243224263191223,nan,nan,nan
1,0.9671217799186707,0.9581267237663269,0.9667635560035706,0.9437978863716125,nan,nan,0.8878492116928101,nan,0.8129878640174866,nan,nan
1,0.978531539440155,0.9400639533996582,0.9920341968536377,0.9693649411201477,0.9359888434410095,0.9900579452514648,nan,nan,0.9148264527320862,0.9532522559165955,nan
0,0.9236400127410889,0.9282481074333191,nan,0.9489660263061523,nan,nan,nan,0.8931069374084473,0.8901419639587402,0.8960617184638977,nan
2,nan,0.9092957973480225,nan,0.8908633589744568,nan,nan,0.8781532049179077,nan,0.8447479605674744,nan,0.8584256768226624
0,0.9407939910888672,0.8405574560165405,nan,0.789526641368866,nan,nan,0.6359195113182068,0.8035926818847656,0.7910864353179932,nan,nan
0,0.8945710062980652,0.8602041006088257,nan,0.9606577754020691,nan,nan,0.8669400811195374,nan,nan,nan,0.8351951837539673
2,0.937606692314148,0.9246224164962769,nan,0.8795766234397888,nan,nan,0.9336183667182922,nan,0.876632809638977,0.8012816905975342,nan
