BodyType,Muscle,Chest,Bodybuilder,Abdomen,Fitness professional,Bodybuilding,Stomach,Model,Arm,Shoulder,Waist
muscular,0.9881929159164429,0.9169887900352478,0.9853980541229248,nan,nan,0.9388208985328674,0.8815358281135559,nan,nan,nan,nan
muscular,0.978531539440155,0.9197818636894226,0.9729868173599243,0.9693649411201477,nan,0.9737198948860168,0.9222952723503113,nan,0.9277090430259705,nan,nan
fat,nan,0.8863927125930786,nan,0.9809806942939758,nan,nan,0.9685486555099487,nan,nan,nan,0.9114631414413452
muscular,0.9671217799186707,0.9581267237663269,0.9667635560035706,0.9437978863716125,nan,nan,0.8878492116928101,nan,0.8129878640174866,nan,nan
slim,0.9192011952400208,0.8920429944992065,nan,0.9090142250061035,nan,nan,0.8584081530570984,nan,0.8784707188606262,nan,nan
muscular,0.9645530581474304,0.9586498141288757,0.9049844741821289,0.9696370959281921,nan,nan,0.8972287178039551,0.8818008303642273,nan,nan,nan
slim,0.8945710062980652,0.8602041006088257,nan,0.9606577754020691,nan,nan,0.8669400811195374,nan,nan,nan,0.8351951837539673
muscular,0.978531539440155,0.9560694098472595,0.9920341968536377,0.9749710559844971,nan,0.9820120334625244,0.9419479370117188,nan,0.9052104353904724,nan,nan
fat,nan,nan,nan,nan,nan,nan,nan,nan,0.887634813785553,nan,nan
muscular,0.978531539440155,0.9235655069351196,0.9448904395103455,0.9213768839836121,nan,nan,nan,nan,nan,nan,nan
fat,0.8358170390129089,0.7784953713417053,nan,0.8950538039207458,nan,nan,nan,nan,0.8680142760276794,nan,0.8887870907783508
muscular,0.9881929159164429,0.9535614848136902,0.9920341968536377,0.9731187224388123,0.9429972767829895,0.9858248233795166,nan,nan,nan,nan,nan
muscular,0.971026599407196,0.9282481074333191,0.9828946590423584,0.9674349427223206,0.9208443760871887,0.94118732213974,nan,0.9243224263191223,nan,nan,nan
slim,nan,nan,nan,0.8581870794296265,nan,nan,0.8815358281135559,nan,nan,nan,0.9183440208435059
muscular,0.978531539440155,0.9386214017868042,0.9816510677337646,0.9577527046203613,nan,0.983565092086792,nan,nan,0.9205000996589661,nan,nan
fat,0.7828976511955261,nan,nan,0.8950538039207458,nan,nan,0.9106335639953613,nan,0.7560437321662903,nan,nan
fat,0.9263401031494141,0.874523937702179,nan,0.8438812494277954,nan,nan,0.8888476490974426,nan,0.8802060484886169,nan,nan
fat,nan,0.9129310250282288,nan,0.9704490900039673,nan,nan,0.9440911412239075,nan,0.7910864353179932,nan,0.9612857103347778
muscular,0.9740816354751587,0.9602444767951965,0.9692602753639221,0.9712551236152649,nan,0.9779739379882812,nan,nan,0.9311627149581909,0.9684357643127441,nan
muscular,0.9809309244155884,0.9327690005302429,0.986662745475769,0.9677135944366455,nan,0.9606563448905945,0.8360175490379333,nan,0.876632809638977,nan,nan
muscular,0.9767720103263855,0.9565788507461548,0.9655106663703918,0.9660250544548035,nan,0.9314567446708679,0.936039924621582,nan,0.9115590453147888,nan,nan
fat,0.7496662735939026,0.8564332127571106,nan,0.9671552777290344,nan,nan,0.9493921399116516,nan,nan,nan,nan
